Subject,Grade,Super Category,Category Code,Category Name,Skill Code,Permacode,Skill ID,Skill Name,Question Preview URL,URL
Maths,Reception,,B,Count to 5,B.17,BVV,2020687917,What number comes next? - up to 5,https://www.ixl.com/screenshot/4a99b14ec71bb90cdfdfeb6b8c763d9a560c5894.png,https://uk.ixl.com/maths/reception/what-number-comes-next-up-to-5
Maths,Reception,,B,Count to 5,B.17,BVV,2020687917,What number comes next? - up to 5,https://www.ixl.com/screenshot/4a99b14ec71bb90cdfdfeb6b8c763d9a560c5894.png,https://uk.ixl.com/maths/reception/what-number-comes-next-up-to-5
Maths,Reception,,B,Count to 5,B,BVV,2020687917,What number comes next? - up to 5,https://www.ixl.com/screenshot/4a99b14ec71bb90cdfdfeb6b8c763d9a560c5894.png,https://uk.ixl.com/maths/reception/what-number-comes-next-up-to-5
Maths,Reception,,B,Count to 5,B.18,S9Y,2020056615,Ordinal numbers - up to fifth,https://www.ixl.com/screenshot/8d98d4d3745b3138d7135889ac06afc57c3111ea.png,https://uk.ixl.com/maths/reception/ordinal-numbers-up-to-fifth
Maths,Reception,,B,Count to 5,B.18,S9Y,2020056615,Ordinal numbers - up to fifth,https://www.ixl.com/screenshot/8d98d4d3745b3138d7135889ac06afc57c3111ea.png,https://uk.ixl.com/maths/reception/ordinal-numbers-up-to-fifth
Maths,Reception,,B,Count to 5,B,S9Y,2020056615,Ordinal numbers - up to fifth,https://www.ixl.com/screenshot/8d98d4d3745b3138d7135889ac06afc57c3111ea.png,https://uk.ixl.com/maths/reception/ordinal-numbers-up-to-fifth
Maths,Reception,,C,Count to 10,C.1,T75,2020056715,Identify numbers - up to 10,https://www.ixl.com/screenshot/1444500f132246b73ee9659079d5ea89e72fae6e.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-10
Maths,Reception,,C,Count to 10,C.1,T75,2020056715,Identify numbers - up to 10,https://www.ixl.com/screenshot/1444500f132246b73ee9659079d5ea89e72fae6e.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-10
Maths,Reception,,C,Count to 10,C,T75,2020056715,Identify numbers - up to 10,https://www.ixl.com/screenshot/1444500f132246b73ee9659079d5ea89e72fae6e.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-10
Maths,Reception,,C,Count to 10,C.2,DDY,2020651417,Choose the number that you hear - up to 10,https://www.ixl.com/screenshot/89e583655bfcd9590a4ff5c8f24d1e7f27675736.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-10
Maths,Reception,,C,Count to 10,C.2,DDY,2020651417,Choose the number that you hear - up to 10,https://www.ixl.com/screenshot/89e583655bfcd9590a4ff5c8f24d1e7f27675736.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-10
Maths,Reception,,C,Count to 10,C,DDY,2020651417,Choose the number that you hear - up to 10,https://www.ixl.com/screenshot/89e583655bfcd9590a4ff5c8f24d1e7f27675736.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-10
Maths,Reception,,C,Count to 10,C.3,PK6,2020008720,Learn to count - up to 10,https://www.ixl.com/screenshot/cc004f7324a43b20f2a643315d014320cf90363d.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-10
Maths,Reception,,C,Count to 10,C.3,PK6,2020008720,Learn to count - up to 10,https://www.ixl.com/screenshot/cc004f7324a43b20f2a643315d014320cf90363d.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-10
Maths,Reception,,C,Count to 10,C,PK6,2020008720,Learn to count - up to 10,https://www.ixl.com/screenshot/cc004f7324a43b20f2a643315d014320cf90363d.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-10
Maths,Reception,,C,Count to 10,C.4,RZ5,2002012517,Count objects - up to 10,https://www.ixl.com/screenshot/0852336f096418759f20cd8acac18489eee731f3.png,https://uk.ixl.com/maths/reception/count-objects-up-to-10
Maths,Reception,,C,Count to 10,C.4,RZ5,2002012517,Count objects - up to 10,https://www.ixl.com/screenshot/0852336f096418759f20cd8acac18489eee731f3.png,https://uk.ixl.com/maths/reception/count-objects-up-to-10
Maths,Reception,,C,Count to 10,C,RZ5,2002012517,Count objects - up to 10,https://www.ixl.com/screenshot/0852336f096418759f20cd8acac18489eee731f3.png,https://uk.ixl.com/maths/reception/count-objects-up-to-10
Maths,Reception,,C,Count to 10,C.5,X8S,2002012515,Count dots - up to 10,https://www.ixl.com/screenshot/053fa487961bebb8c02cdf72889a0a991a7c9f56.png,https://uk.ixl.com/maths/reception/count-dots-up-to-10
Maths,Reception,,C,Count to 10,C.5,X8S,2002012515,Count dots - up to 10,https://www.ixl.com/screenshot/053fa487961bebb8c02cdf72889a0a991a7c9f56.png,https://uk.ixl.com/maths/reception/count-dots-up-to-10
Maths,Reception,,C,Count to 10,C,X8S,2002012515,Count dots - up to 10,https://www.ixl.com/screenshot/053fa487961bebb8c02cdf72889a0a991a7c9f56.png,https://uk.ixl.com/maths/reception/count-dots-up-to-10
Maths,Reception,,C,Count to 10,C.6,CYN,2002012516,Count shapes - up to 10,https://www.ixl.com/screenshot/0dfe650fd62c658a6610ce04787483ea7557d09c.png,https://uk.ixl.com/maths/reception/count-shapes-up-to-10
Maths,Reception,,C,Count to 10,C.6,CYN,2002012516,Count shapes - up to 10,https://www.ixl.com/screenshot/0dfe650fd62c658a6610ce04787483ea7557d09c.png,https://uk.ixl.com/maths/reception/count-shapes-up-to-10
Maths,Reception,,C,Count to 10,C,CYN,2002012516,Count shapes - up to 10,https://www.ixl.com/screenshot/0dfe650fd62c658a6610ce04787483ea7557d09c.png,https://uk.ixl.com/maths/reception/count-shapes-up-to-10
Maths,Reception,,C,Count to 10,C.7,TNZ,2020056815,Count using stickers - up to 10,https://www.ixl.com/screenshot/2e1395b00c0638c86f1a95ab1d46e64d74a5e12a.png,https://uk.ixl.com/maths/reception/count-using-stickers-up-to-10
Maths,Reception,,C,Count to 10,C.7,TNZ,2020056815,Count using stickers - up to 10,https://www.ixl.com/screenshot/2e1395b00c0638c86f1a95ab1d46e64d74a5e12a.png,https://uk.ixl.com/maths/reception/count-using-stickers-up-to-10
Maths,Reception,,C,Count to 10,C,TNZ,2020056815,Count using stickers - up to 10,https://www.ixl.com/screenshot/2e1395b00c0638c86f1a95ab1d46e64d74a5e12a.png,https://uk.ixl.com/maths/reception/count-using-stickers-up-to-10
Maths,Reception,,C,Count to 10,C.8,M86,2020056915,Count cubes - up to 10,https://www.ixl.com/screenshot/085377bda0de6a681862da9a567275998182482c.png,https://uk.ixl.com/maths/reception/count-cubes-up-to-10
